n,1/s,R_A1,N_A1,H_A1
1,1.018,2,0,85
2,2.039,1,1,155
3,3.059,0,2,136
4,4.075,2,3,77
5,5.095,2,4,31
6,6.115,0,5,10
7,7.134,1,6,5
8,8.155,2,7,1
9,9.177,1,NAN,NAN
10,10.193,1,NAN,NAN
11,11.217,4,NAN,NAN
12,12.236,3,NAN,NAN
13,13.255,1,NAN,NAN
14,14.277,3,NAN,NAN
15,15.293,5,NAN,NAN
16,16.312,1,NAN,NAN
17,17.334,3,NAN,NAN
18,18.353,2,NAN,NAN
19,19.377,2,NAN,NAN
20,20.393,2,NAN,NAN
21,21.416,0,NAN,NAN
22,22.437,0,NAN,NAN
23,23.452,1,NAN,NAN
24,24.476,2,NAN,NAN
25,25.493,1,NAN,NAN
26,26.517,0,NAN,NAN
27,27.536,3,NAN,NAN
28,28.556,2,NAN,NAN
29,29.575,1,NAN,NAN
30,30.594,4,NAN,NAN
31,31.617,1,NAN,NAN
32,32.633,1,NAN,NAN
33,33.653,2,NAN,NAN
34,34.676,2,NAN,NAN
35,35.696,3,NAN,NAN
36,36.711,3,NAN,NAN
37,37.735,0,NAN,NAN
38,38.755,1,NAN,NAN
39,39.771,2,NAN,NAN
40,40.794,3,NAN,NAN
41,41.811,0,NAN,NAN
42,42.834,3,NAN,NAN
43,43.852,2,NAN,NAN
44,44.87,1,NAN,NAN
45,45.89,0,NAN,NAN
46,46.912,2,NAN,NAN
47,47.929,2,NAN,NAN
48,48.955,3,NAN,NAN
49,49.969,1,NAN,NAN
50,50.989,5,NAN,NAN
51,52.01,1,NAN,NAN
52,53.041,1,NAN,NAN
53,54.06,3,NAN,NAN
54,55.084,1,NAN,NAN
55,56.101,7,NAN,NAN
56,57.125,2,NAN,NAN
57,58.143,1,NAN,NAN
58,59.161,1,NAN,NAN
59,60.182,1,NAN,NAN
60,61.203,2,NAN,NAN
61,62.219,0,NAN,NAN
62,63.238,3,NAN,NAN
63,64.261,0,NAN,NAN
64,65.278,1,NAN,NAN
65,66.299,1,NAN,NAN
66,67.321,2,NAN,NAN
67,68.34,1,NAN,NAN
68,69.361,2,NAN,NAN
