n,n^2,n!,h,w,ln(w.n!)
40,1600,0.00E+00,2,0.004,104.7991788
42,1764,0.00E+00,3,0.006,112.6558856
43,1849,0.00E+00,2,0.004,116.0116206
45,2025,0.00E+00,3,0.006,124.0079378
46,2116,0.00E+00,1,0.002,126.7379669
47,2209,0.00E+00,5,0.01,132.1975525
48,2304,0.00E+00,2,0.004,135.1524627
49,2401,0.00E+00,11,0.022,140.7490311
50,2500,0.00E+00,8,0.016,144.3426004
51,2601,0.00E+00,8,0.016,148.274426
52,2704,0.00E+00,7,0.014,152.0921384
53,2809,0.00E+00,9,0.018,156.3137447
54,2916,0.00E+00,16,0.032,160.8780929
55,3025,0.00E+00,25,0.05,165.3317132
56,3136,0.00E+00,16,0.032,168.9107778
57,3249,0.00E+00,25,0.05,173.4001161
58,3364,0.00E+00,22,0.044,177.3327258
59,3481,0.00E+00,32,0.064,181.7849567
60,3600,0.00E+00,16,0.032,185.186154
61,3721,0.00E+00,23,0.046,189.6599334
62,3844,0.00E+00,21,0.042,193.696096
63,3969,0.00E+00,31,0.062,198.2286955
64,4096,0.00E+00,25,0.05,202.1724672
65,4225,0.00E+00,21,0.042,206.1725011
66,4356,0.00E+00,25,0.05,210.5365092
67,4489,0.00E+00,17,0.034,214.3555394
68,4624,0.00E+00,16,0.032,218.5144224
69,4761,0.00E+00,16,0.032,222.7485289
70,4900,0.00E+00,17,0.034,227.0576488
71,5041,0.00E+00,13,0.026,231.0520647
72,5184,0.00E+00,12,0.024,235.2486881
73,5329,0.00E+00,5,0.01,238.6636788
74,5476,0.00E+00,7,0.014,243.3042161
75,5625,0.00E+00,6,0.012,247.4675536
76,5776,0.00E+00,8,0.016,252.085969
77,5929,0.00E+00,8,0.016,256.4297744
78,6084,0.00E+00,2,0.004,259.4001889
79,6241,0.00E+00,7,0.014,265.0223997
80,6400,0.00E+00,1,0.002,267.4585162
81,6561,0.00E+00,3,0.006,272.9515776
82,6724,0.00E+00,1,0.002,276.2596846
83,6889,0.00E+00,2,0.004,281.3716724
