No,n,n^2,n!,h,w,ln(w.n!),ln^2(w.n!),n.ln(w.n!)
1,0,0,1,2,0.004,-5.521460918,30.48653067,0
2,1,1,1,5,0.01,-4.605170186,21.20759244,-4.605170186
3,2,4,2,17,0.034,-2.688247574,7.226675018,-5.376495148
4,3,9,6,33,0.066,-0.926341068,0.858107774,-2.779023203
5,4,16,24,59,0.118,1.040983176,1.083645972,4.163932703
6,5,25,120,92,0.184,3.094672221,9.576996158,15.47336111
7,6,36,720,95,0.19,4.918520005,24.19183904,29.51112003
8,7,49,5040,65,0.13,6.484940533,42.05445371,45.39458373
9,8,64,40320,54,0.108,8.378978851,70.20728658,67.03183081
10,9,81,362880,27,0.054,9.883056248,97.67480079,88.94750623
11,10,100,3628800,19,0.038,11.83424345,140.0493181,118.3424345
12,11,121,39916800,24,0.048,14.46575358,209.2580266,159.1232894
13,12,144,479001600,3,0.006,14.87121869,221.1531452,178.4546242
14,13,169,6227020800,3,0.006,17.43616804,304.019956,226.6701846
15,14,196,87178291200,1,0.002,18.97661308,360.1118442,265.6725832
16,15,225,1.31E+12,1,0.002,21.68466329,470.2246218,325.2699493
Sum,120,1240,1.40393E+12,500,1,119.3285914,2009.38484,1511.294711
