n,n^2,n!,h,w,ln(w.n!)
0,0,1,2,0.004,-5.521460918
1,1,1,5,0.01,-4.605170186
2,4,2,17,0.034,-2.688247574
3,9,6,33,0.066,-0.926341068
4,16,24,59,0.118,1.040983176
5,25,120,92,0.184,3.094672221
6,36,720,95,0.19,4.918520005
7,49,5040,65,0.13,6.484940533
8,64,40320,54,0.108,8.378978851
9,81,362880,27,0.054,9.883056248
10,100,3628800,19,0.038,11.83424345
11,121,39916800,24,0.048,14.46575358
12,144,479001600,3,0.006,14.87121869
13,169,6227020800,3,0.006,17.43616804
14,196,87178291200,1,0.002,18.97661308
15,225,1.31E+12,1,0.002,21.68466329
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
