No,n,n^2,n!,h,w,ln(w.n!),ln^2(w.n!),n.ln(w.n!)
1,40,1600,8.16E+47,2,0.004,104.7991788,10982.86788,4191.967152
2,42,1764,1.41E+51,3,0.006,112.6558856,12691.34856,4731.547195
3,43,1849,6.04E+52,2,0.004,116.0116206,13458.69611,4988.499686
4,45,2025,1.20E+56,3,0.006,124.0079378,15377.96864,5580.357202
5,46,2116,5.50E+57,1,0.002,126.7379669,16062.51226,5829.946479
6,47,2209,2.59E+59,5,0.01,132.1975525,17476.19287,6213.284965
7,48,2304,1.24E+61,2,0.004,135.1524627,18266.18818,6487.318211
8,49,2401,6.08E+62,11,0.022,140.7490311,19810.28976,6896.702525
9,50,2500,3.04E+64,8,0.016,144.3426004,20834.78629,7217.13002
10,51,2601,1.55E+66,8,0.016,148.274426,21985.30541,7561.995727
11,52,2704,8.07E+67,7,0.014,152.0921384,23132.01855,7908.791194
12,53,2809,4.27E+69,9,0.018,156.3137447,24433.98678,8284.628469
13,54,2916,2.31E+71,16,0.032,160.8780929,25881.76077,8687.417016
14,55,3025,1.27E+73,25,0.05,165.3317132,27334.57538,9093.244225
15,56,3136,7.11E+74,16,0.032,168.9107778,28530.85084,9459.003555
16,57,3249,4.05E+76,25,0.05,173.4001161,30067.60028,9883.80662
17,58,3364,2.35E+78,22,0.044,177.3327258,31446.89563,10285.29809
18,59,3481,1.39E+80,32,0.064,181.7849567,33045.77047,10725.31244
19,60,3600,8.32E+81,16,0.032,185.186154,34293.91165,11111.16924
20,61,3721,5.08E+83,23,0.046,189.6599334,35970.89034,11569.25594
21,62,3844,3.15E+85,21,0.042,193.696096,37518.17761,12009.15795
22,63,3969,1.98E+87,31,0.062,198.2286955,39294.61572,12488.40782
23,64,4096,1.27E+89,25,0.05,202.1724672,40873.7065,12939.0379
24,65,4225,8.25E+90,21,0.042,206.1725011,42507.10021,13401.21257
25,66,4356,5.44E+92,25,0.05,210.5365092,44325.62171,13895.40961
26,67,4489,3.65E+94,17,0.034,214.3555394,45948.29725,14361.82114
27,68,4624,2.48E+96,16,0.032,218.5144224,47748.55282,14858.98073
28,69,4761,1.71E+98,16,0.032,222.7485289,49616.90715,15369.6485
29,70,4900,1.20E+100,17,0.034,227.0576488,51555.17588,15894.03542
30,71,5041,8.50E+101,13,0.026,231.0520647,53385.0566,16404.69659
31,72,5184,6.12E+103,12,0.024,235.2486881,55341.94526,16937.90554
32,73,5329,4.47E+105,5,0.01,238.6636788,56960.35159,17422.44855
33,74,5476,3.31E+107,7,0.014,243.3042161,59196.94159,18004.51199
34,75,5625,2.48E+109,6,0.012,247.4675536,61240.19008,18560.06652
35,76,5776,1.89E+111,8,0.016,252.085969,63547.33576,19158.53364
36,77,5929,1.45E+113,8,0.016,256.4297744,65756.22921,19745.09263
37,78,6084,1.13E+115,2,0.004,259.4001889,67288.45799,20233.21473
38,79,6241,8.95E+116,7,0.014,265.0223997,70236.87234,20936.76958
39,80,6400,7.16E+118,1,0.002,267.4585162,71534.05788,21396.68129
40,81,6561,5.80E+120,3,0.006,272.9515776,74502.56373,22109.07779
41,82,6724,4.75E+122,1,0.002,276.2596846,76319.41333,22653.29414
42,83,6889,3.95E+124,2,0.004,281.3716724,79170.01802,23353.84881
Sum,2621,169897,3.9981E+124,500,1,8216.017408,1714952.005,538840.5294
