n,n^2,n!,h,w,ln(w.n!)
40,1600,8.15915E+47,2,0.004,104.7991788
42,1764,1.40501E+51,3,0.006,112.6558856
43,1849,6.04153E+52,2,0.004,116.0116206
45,2025,1.19622E+56,3,0.006,124.0079378
46,2116,5.50262E+57,1,0.002,126.7379669
47,2209,2.58623E+59,5,0.01,132.1975525
48,2304,1.24139E+61,2,0.004,135.1524627
49,2401,6.08282E+62,11,0.022,140.7490311
50,2500,3.04141E+64,8,0.016,144.3426004
51,2601,1.55112E+66,8,0.016,148.274426
52,2704,8.06582E+67,7,0.014,152.0921384
53,2809,4.27488E+69,9,0.018,156.3137447
54,2916,2.30844E+71,16,0.032,160.8780929
55,3025,1.26964E+73,25,0.05,165.3317132
56,3136,7.10999E+74,16,0.032,168.9107778
57,3249,4.05269E+76,25,0.05,173.4001161
58,3364,2.35056E+78,22,0.044,177.3327258
59,3481,1.38683E+80,32,0.064,181.7849567
60,3600,8.32099E+81,16,0.032,185.186154
61,3721,5.0758E+83,23,0.046,189.6599334
62,3844,3.147E+85,21,0.042,193.696096
63,3969,1.98261E+87,31,0.062,198.2286955
64,4096,1.26887E+89,25,0.05,202.1724672
65,4225,8.24765E+90,21,0.042,206.1725011
66,4356,5.44345E+92,25,0.05,210.5365092
67,4489,3.64711E+94,17,0.034,214.3555394
68,4624,2.48004E+96,16,0.032,218.5144224
69,4761,1.71122E+98,16,0.032,222.7485289
70,4900,1.1979E+100,17,0.034,227.0576488
71,5041,8.5048E+101,13,0.026,231.0520647
72,5184,6.1234E+103,12,0.024,235.2486881
73,5329,4.4701E+105,5,0.01,238.6636788
74,5476,3.3079E+107,7,0.014,243.3042161
75,5625,2.4809E+109,6,0.012,247.4675536
76,5776,1.8855E+111,8,0.016,252.085969
77,5929,1.4518E+113,8,0.016,256.4297744
78,6084,1.1324E+115,2,0.004,259.4001889
79,6241,8.9462E+116,7,0.014,265.0223997
80,6400,7.1569E+118,1,0.002,267.4585162
81,6561,5.7971E+120,3,0.006,272.9515776
82,6724,4.7536E+122,1,0.002,276.2596846
83,6889,3.9455E+124,2,0.004,281.3716724
